# Table 2: Raw sequencing reads of all expressed small non-coding RNA species by tissue type. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Name:,Chromosomal Position,,,,BREAST,,,,,CNS,,,,,,COLON,,,,,,,LEUKEMIA,,,,,,MELANOMA,,,,,,,,,NSCLC,,,,,,,,,OVARIAN,,,,,,,PROSTATE,,RENAL,,,,,,,
mature,structure,chromosome,start,stop,BT-549,HS-578T,MCF-7,MDA-MB-231,T-47D,SF-539,SF-295,SF-268,U251,SNB-75,SNB-19,COLO 205,HCT-15,HCC2998,HCT-116,HT-29,KM12,SW-620,CCRF-CEM,HL-60(TB),K-562,MOLT-4,RPMI 8226,SR,MALME-3M,LOX-IMVI,M14,MDA-MB-435,SK-MEL-28,SK-MEL-5,SK-MEL-2,UACC-257,UACC-62,A549,EKVX,HOP 92,HOP 62,NCI-H23,NCI-H322M,NCI-H226,NCI-H460,NCI-H522,IGR-OV1,NCI/ADR-RES,OVCAR-3,OVCAR-8,OVCAR-4,OVCAR-5,SK-OV-3,DU-145,PC-3,A498,CAKI-1,786-0,ACHN,RXF393,SN12C,TK-10,UO-31
hsa_piR_007508,piRNA,chr15,60311349,60311378,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
hsa_piR_007509,piRNA,Multiple,Multiple,Multiple,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,3,1,0,0,1,1
hsa_piR_007510,piRNA,Multiple,Multiple,Multiple,0,0,1,0,2,0,0,1,0,0,3,0,2,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0
hsa_piR_007514,piRNA,Multiple,Multiple,Multiple,0,0,2,1,2,0,0,0,3,1,1,1,2,2,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,2,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0
hsa_piR_007515,piRNA,chr1,199206941,199206969,1,0,1,3,9,0,1,1,2,3,6,1,0,1,1,1,0,2,0,2,1,0,1,3,0,0,0,1,1,0,1,0,3,1,0,2,1,1,3,0,0,0,1,2,1,2,0,0,0,1,0,2,0,1,0,0,5,1,2
hsa_piR_007516,piRNA,chr10,79200297,79200327,1,0,2,1,1,0,1,0,1,0,0,1,0,2,2,0,1,2,0,1,1,0,0,1,0,0,1,2,1,0,0,0,2,1,1,0,2,0,1,1,0,2,1,1,0,0,1,0,1,1,1,4,2,0,2,0,1,4,0
hsa_piR_007517,piRNA,chr9,138417115,138417142,3,5,3,1,2,0,0,0,2,2,3,2,1,3,0,4,3,5,0,3,2,2,0,3,0,0,0,2,1,0,0,0,0,3,1,1,3,4,4,1,0,0,1,5,2,1,2,2,1,3,1,1,0,1,1,0,2,7,0
hsa_piR_007518,piRNA,Multiple,Multiple,Multiple,15,2,0,1,1,1,1,3,1,1,6,2,2,4,2,6,1,6,0,3,4,1,2,2,0,7,2,2,1,0,0,0,0,12,2,0,7,1,2,1,4,2,1,1,1,3,1,1,0,3,1,3,4,2,2,1,5,17,2
hsa_piR_007519,piRNA,chr2,73161307,73161336,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
hsa_piR_007520,piRNA,chr15,90922400,90922428,0,0,6,0,1,1,2,0,4,8,1,1,1,0,2,1,1,2,2,1,3,3,2,1,0,3,0,0,0,1,0,0,2,3,1,1,0,0,1,1,0,1,1,0,3,0,1,0,0,6,1,2,2,0,1,1,2,1,2
hsa_piR_007521,piRNA,chr6,84632275,84632302,2,0,0,0,1,0,0,0,3,1,3,0,0,2,2,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,3,4,1
hsa_piR_007522,piRNA,chr13,30835534,30835563,3,1,2,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,2,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
hsa_piR_007523,piRNA,Multiple,Multiple,Multiple,4,1,4,2,4,0,0,0,1,0,5,1,1,1,0,2,0,1,1,0,2,3,0,0,0,3,1,0,0,0,2,0,1,0,1,2,1,1,3,3,0,1,1,2,1,1,1,0,0,1,0,1,0,0,1,1,9,10,2
hsa_piR_007524,piRNA,Multiple,Multiple,Multiple,2,2,2,1,0,2,2,0,3,0,1,1,1,4,2,1,0,5,0,0,1,3,3,1,0,2,0,2,1,0,0,0,1,2,2,1,0,3,2,1,1,4,5,2,1,1,1,1,0,0,0,1,1,0,1,0,2,2,2
hsa_piR_007525,piRNA,Multiple,Multiple,Multiple,1,2,1,2,0,1,1,0,3,1,3,1,1,2,1,0,2,5,0,0,0,1,2,0,0,0,0,0,1,0,3,0,1,0,1,1,1,0,2,0,1,1,1,0,0,0,1,1,0,3,0,1,1,1,1,0,0,2,2
hsa_piR_007526,piRNA,Multiple,Multiple,Multiple,0,0,2,1,0,0,0,0,0,0,1,0,1,4,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,4,0
hsa_piR_007527,piRNA,chr19,18100726,18100755,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,4,2,0,3,0,0,1,0,1,0,3,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
hsa_piR_007528,piRNA,Multiple,Multiple,Multiple,2,1,6,3,3,4,4,2,0,0,3,3,2,7,2,6,2,1,1,0,7,1,0,1,0,4,3,1,3,0,7,0,6,4,0,0,0,1,5,5,5,2,0,3,1,3,1,2,8,0,7,0,1,0,1,4,0,15,1
hsa_piR_007530,piRNA,chr1,177823698,177823727,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa_piR_007532,piRNA,chr10,27575595,27575621,0,0,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,2,0
hsa_piR_007533,piRNA,chr22,36087885,36087915,0,2,1,0,3,0,0,0,2,2,5,0,2,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,4,3,1,0,2,1,0,0,0,1,0,0,0,3,1,2,0,1,0,2,1,0,4,2,1
hsa_piR_007534,piRNA,chr12,3445658,3445688,1,3,7,4,5,1,1,0,2,0,2,2,0,2,1,1,2,5,1,0,1,2,2,5,0,4,0,3,0,2,4,0,1,5,3,6,1,3,10,2,0,2,1,3,2,1,2,1,1,3,0,3,0,0,3,1,4,2,1
hsa_piR_007535,piRNA,Multiple,Multiple,Multiple,0,0,0,0,0,1,0,0,2,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,3,3,2,0,1,1,0,1,2,0,1,0,1,0,1,0,0,1,0,3,0
hsa_piR_007536,piRNA,chr15,60311797,60311826,11,15,50,20,12,2,0,3,16,11,27,13,12,14,8,23,22,18,10,9,15,15,12,17,0,15,10,17,2,2,5,1,25,12,8,8,19,18,16,26,13,14,17,25,16,14,23,10,6,29,19,11,8,11,8,2,19,16,16
hsa_piR_007537,piRNA,chr11,45652086,45652115,1,4,20,1,1,1,1,1,1,1,4,1,6,3,4,3,1,5,1,4,7,4,2,4,0,2,2,6,0,0,2,0,4,5,1,4,7,5,5,4,0,9,1,2,0,2,2,2,0,5,1,3,1,4,3,0,2,9,2
hsa_piR_007538,piRNA,chr19,55897264,55897290,0,0,0,0,0,0,1,0,0,1,1,1,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0
hsa_piR_007539,piRNA,chr7,56841231,56841258,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,1,4,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,2,2,0
hsa_piR_007540,piRNA,Multiple,Multiple,Multiple,13,1,16,5,9,14,6,7,5,2,5,8,8,15,8,12,17,8,7,8,20,6,23,5,0,15,11,5,14,8,15,0,5,14,3,5,4,15,9,8,12,8,11,13,8,6,13,5,22,13,12,6,4,8,8,18,9,47,4
hsa_piR_007541,piRNA,chr7,156926750,156926775,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,2,0,0,1,0,1,1,0,0,1,0,0,2,1,0,1,0,0
hsa_piR_007542,piRNA,chr17,41983750,41983777,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,3,0,1,0,1,0,3,0,2,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
hsa_piR_007543,piRNA,chr12,529197,529223,0,0,1,1,1,0,1,0,9,0,9,0,0,0,1,0,0,1,4,1,1,1,0,6,0,0,0,1,0,0,1,0,0,0,0,1,0,1,4,2,1,1,0,0,0,0,0,0,0,1,2,2,0,0,1,0,1,1,2
hsa_piR_007544,piRNA,Multiple,Multiple,Multiple,0,0,4,0,6,0,0,0,5,1,3,0,2,2,1,2,1,17,1,0,0,1,1,7,0,2,0,0,0,0,1,0,0,3,3,2,0,5,0,2,0,1,1,2,0,2,1,0,0,4,3,2,0,2,0,1,4,13,0
hsa_piR_007545,piRNA,chr4,9748685,9748715,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
hsa_piR_007546,piRNA,chr6,33974036,33974063,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,3,0,0,0,1,0,0,0,0,4,1,1,2,3,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,2,1,0
hsa_piR_007547,piRNA,Multiple,Multiple,Multiple,3,2,0,1,1,0,0,1,1,1,3,1,0,3,1,0,3,2,2,0,1,2,1,0,0,3,1,1,0,1,0,0,1,2,2,0,1,1,2,1,1,2,0,0,0,0,0,1,0,1,1,2,1,1,1,0,0,1,0
hsa_piR_007549,piRNA,Multiple,Multiple,Multiple,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa_piR_007550,piRNA,chr2,71066949,71066977,10,0,1,3,0,0,0,1,7,3,6,6,8,8,1,4,7,11,15,14,45,11,7,13,0,7,3,6,1,0,2,0,2,2,3,4,4,1,4,2,3,5,4,5,4,3,6,3,0,6,9,4,3,3,2,2,5,3,4
hsa_piR_007551,piRNA,chr11,130281203,130281233,0,0,0,1,2,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,2,1
hsa_piR_007552,piRNA,chr1,110179276,110179301,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa_piR_007553,piRNA,Multiple,Multiple,Multiple,1,0,2,3,0,1,0,1,1,2,3,0,0,3,1,2,2,0,2,1,2,1,3,0,0,3,0,2,1,0,1,0,0,2,0,2,1,0,2,0,1,3,1,0,1,0,0,3,1,2,4,2,3,0,0,0,1,3,3
hsa_piR_007554,piRNA,chr22,19684264,19684290,6,0,5,6,1,3,1,0,4,5,1,4,17,7,6,5,1,5,7,10,3,6,2,5,0,5,1,4,2,2,1,0,3,5,6,2,5,8,4,11,2,2,5,13,3,3,0,1,2,9,2,6,5,7,2,2,5,3,1
hsa_piR_007555,piRNA,chr8,47154242,47154273,1,1,1,2,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,1,0,0,2,2,1,1,2,2,3,2,0,3,0,1,0,0,1,1,2,0,0,0,1,0,2,1
hsa_piR_007556,piRNA,chr12,50455742,50455770,0,0,2,2,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,2,0,0,0,1,3,5,0,0,0,0,1,1,1,1,1,0,2,2,0,0,0,1,0,0,0,3
hsa_piR_007557,piRNA,chr22,36097504,36097534,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1
hsa_piR_007558,piRNA,chr17,16383820,16383846,0,1,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0
hsa_piR_007559,piRNA,chr17,3362796,3362821,49,21,39,21,11,145,18,14,6,10,14,66,30,445,24,657,19,14,25,7,42,45,73,10,0,44,34,67,40,22,72,0,51,48,20,21,9,9,158,357,27,19,177,57,28,28,33,48,41,76,37,23,27,24,29,38,26,89,15
hsa_piR_007560,piRNA,chr7,31250713,31250739,2,2,2,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,1,1
hsa_piR_007561,piRNA,chr22,22568174,22568204,4,0,6,3,11,2,0,1,6,5,4,3,11,5,4,5,3,9,1,4,5,2,2,3,0,2,1,1,2,0,2,0,1,3,9,7,7,1,2,5,1,2,0,4,0,0,3,3,2,9,1,1,1,0,1,1,6,6,0
hsa_piR_007562,piRNA,chr1,16886901,16886926,0,0,1,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,3,1,1,1,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0
hsa_piR_007563,piRNA,chr1,226891165,226891192,114,16,117,28,159,8,10,9,111,15,52,51,135,27,114,123,37,248,22,16,66,38,64,27,0,35,18,42,11,9,9,0,68,41,37,43,22,137,98,51,32,372,62,81,204,55,154,74,16,115,305,85,19,211,55,38,59,136,53
hsa_piR_007564,piRNA,chr11,82832721,82832746,7,1,8,1,4,1,1,0,2,0,6,2,3,3,2,1,1,3,2,3,2,5,1,4,0,3,1,0,0,0,0,0,3,4,3,3,3,3,4,3,2,1,2,3,1,0,1,2,0,13,1,6,5,9,6,0,1,6,1
hsa_piR_007565,piRNA,chr8,126001957,126001986,0,2,4,3,1,0,2,1,0,0,1,1,4,1,2,2,1,3,1,1,2,0,1,1,0,5,0,1,0,0,1,0,2,3,0,2,1,3,4,1,0,3,0,3,1,0,2,1,1,7,4,1,3,1,4,0,5,1,1
hsa_piR_007566,piRNA,chr15,81125295,81125320,1,0,0,0,1,0,2,0,2,0,4,0,4,3,1,1,0,7,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2,0,1,2,1,1,0,0,2,3,0,1,3,1,1,0,1,1,0,0,0,1,1,1,1,0,2
hsa_piR_007567,piRNA,chr22,30061126,30061151,1,0,1,1,1,0,0,2,0,2,3,1,1,2,0,3,1,0,0,0,2,0,1,1,0,2,2,1,0,1,1,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,1,1,1,2,0,1,1,1,0,0,3,0
hsa_piR_007568,piRNA,chr10,79197300,79197328,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0
hsa_piR_007569,piRNA,chr4,2218098,2218125,0,1,1,0,2,0,0,0,4,1,1,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,1,0,0,0,0,1,1,1,0,2,2,0
hsa_piR_007570,piRNA,Multiple,Multiple,Multiple,0,1,4,1,1,0,1,0,0,1,1,0,1,1,1,0,3,4,0,1,1,2,1,1,0,0,1,1,0,0,0,0,3,1,4,3,0,2,4,1,1,1,2,2,2,0,3,2,1,7,0,5,3,3,1,2,2,4,0
hsa_piR_007571,piRNA,chr7,24722045,24722070,0,0,2,0,1,0,0,1,2,0,1,0,0,1,3,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,2,2
hsa_piR_007572,piRNA,chr16,21040367,21040395,3,0,0,0,0,0,0,0,1,0,4,1,0,2,1,2,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,1,1,3,0,1,1,0,1,0,1,1,0,1,0,0,2,0
hsa_piR_007573,piRNA,chr14,87671565,87671593,0,0,0,0,0,1,0,1,1,2,1,1,2,0,0,0,1,1,1,0,1,2,0,1,0,0,2,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,2,0
hsa_piR_007574,piRNA,chr2,238794101,238794131,2,0,9,2,3,0,0,0,6,12,6,2,7,7,3,3,0,8,1,0,1,1,1,4,0,2,0,2,0,1,1,0,1,7,5,2,4,1,3,3,1,2,1,9,2,5,3,1,0,13,2,2,1,12,1,2,8,6,0
hsa_piR_007576,piRNA,chr11,45697577,45697606,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa_piR_007577,piRNA,chr10,126300074,126300102,2,0,2,1,0,0,0,0,0,1,5,1,1,0,2,0,0,2,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,1,2,3,0,2,0,0,0,1,0,1,0,0,2,2,0,0,2,3,2
hsa_piR_007578,piRNA,Multiple,Multiple,Multiple,0,0,4,0,3,1,1,0,2,5,2,0,5,4,0,1,2,5,0,0,3,4,0,2,0,2,2,0,0,0,0,0,2,1,2,0,2,1,3,2,1,1,0,1,2,0,1,1,0,2,0,0,3,0,1,0,3,7,1
hsa_piR_007579,piRNA,chr18,34769018,34769045,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,0,1,0,1,0,0,0,0,3,1,1,0,1,1,2,0,0,1,0,2,1,0,2,0,1,0,1,0,0,2,0,0,0,2,0
hsa_piR_007580,piRNA,chr11,45675923,45675953,0,0,3,0,1,0,0,0,1,1,0,2,1,1,3,1,1,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,2,2,0,0,0,2,0,1,1,0,0,0,1,0,0,1,1,0,0,0,2,1
hsa_piR_007581,piRNA,chr15,90930972,90931000,3,1,1,1,1,0,3,1,2,1,2,5,4,8,1,3,6,6,1,3,9,6,1,4,0,3,1,2,1,2,3,0,13,4,0,3,3,3,9,2,1,1,5,0,4,1,2,0,0,3,1,2,1,5,2,1,4,116,1
hsa_piR_007582,piRNA,chr19,45212748,45212775,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0
hsa_piR_007583,piRNA,Multiple,Multiple,Multiple,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
hsa_piR_007584,piRNA,chr15,90932067,90932096,1,1,7,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,6,2,0,1,1,1,0,0,2,0,0,4,1,0,0,0,0,0,2,2,0
hsa_piR_007586,piRNA,chrX,18626958,18626986,0,2,6,3,0,0,1,1,0,0,2,0,2,2,1,4,0,3,1,1,0,1,5,0,0,3,0,2,2,0,0,0,2,4,1,4,2,2,2,3,0,1,2,2,0,1,1,0,0,8,0,1,2,1,0,0,2,3,1
hsa_piR_007587,piRNA,chr6,31346884,31346909,0,1,0,0,0,1,0,0,0,1,1,0,0,3,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
hsa_piR_007588,piRNA,chr15,60308481,60308510,2,0,3,1,3,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,2,1,0,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,2,0,0,1,0,0,3,0
hsa_piR_007589,piRNA,Multiple,Multiple,Multiple,0,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0
hsa_piR_007590,piRNA,chr15,49375028,49375057,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa_piR_007591,piRNA,chr2,17391879,17391905,2,0,2,1,0,1,0,0,2,0,5,0,0,1,2,1,0,0,0,2,1,1,1,1,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,2,1,0,0,2,1,0,0,4,1
hsa_piR_007592,piRNA,chr22,25626647,25626673,0,0,1,0,0,0,1,0,1,0,2,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,1,0,2,0,0,0,1,1,2
hsa_piR_007594,piRNA,Multiple,Multiple,Multiple,4,1,3,1,1,2,1,0,2,1,0,2,1,1,1,2,2,4,2,2,0,0,1,1,0,1,1,2,0,0,0,0,4,2,2,1,1,5,2,2,1,0,1,3,1,2,1,1,1,3,0,3,1,2,4,0,6,1,0
hsa_piR_007595,piRNA,chr6,96190816,96190843,1,0,3,2,0,0,0,2,1,0,1,1,3,3,2,2,1,2,0,2,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,2,6,1,0,1,0,1,3,2,1,1,0,4,0,0,1,0,1,1,0,0,0
hsa_piR_007596,piRNA,chr10,79195654,79195683,0,0,1,0,1,0,0,0,1,1,5,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,1,0,0,1,2,0,0,5,1
hsa_piR_007597,piRNA,Multiple,Multiple,Multiple,3,0,1,2,0,1,1,1,0,0,0,0,1,0,0,0,0,2,1,1,1,0,1,0,0,1,1,1,0,0,2,0,0,1,1,2,0,2,2,2,1,0,1,0,1,1,0,1,1,0,0,0,4,1,0,0,0,3,1
hsa_piR_007598,piRNA,chr6,33962822,33962851,4,2,3,0,0,0,0,0,2,1,0,2,1,0,0,0,0,1,3,1,2,0,1,1,0,0,1,3,0,2,0,0,1,3,0,0,0,0,8,0,0,1,1,1,3,1,0,0,0,2,1,0,1,2,2,1,2,1,0
hsa_piR_007599,piRNA,chr11,45674820,45674849,0,0,1,1,0,0,1,2,5,0,0,1,1,0,0,0,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0
hsa_piR_007600,piRNA,chr13,51236602,51236627,0,2,4,2,1,0,0,0,3,0,2,1,1,0,2,3,1,2,2,1,2,3,1,1,0,0,0,1,0,0,2,0,4,2,1,1,2,2,4,1,0,1,0,3,0,0,0,2,1,1,2,1,0,1,2,0,1,1,0
hsa_piR_007601,piRNA,chr5,829665,829694,2,0,4,3,0,0,0,0,1,0,0,1,1,2,1,0,0,5,1,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,2,2,0,0,4,2,2,0,1,1,1,1,0,0,0,3,0,1,0,2,2,0,3,1,0
hsa_piR_007602,piRNA,chr2,111174543,111174571,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
hsa_piR_007603,piRNA,chr15,91766250,91766281,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,3,0
hsa_piR_007605,piRNA,chr19,16012147,16012175,3,0,4,3,1,0,1,0,0,0,4,1,1,1,1,2,3,4,1,0,1,1,0,2,0,1,2,1,0,0,0,0,3,2,3,1,0,2,1,2,0,4,0,2,2,0,0,1,0,0,0,2,4,0,3,1,0,4,1
hsa_piR_007606,piRNA,chr15,97487558,97487583,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
hsa_piR_007607,piRNA,chr19,19718036,19718065,0,0,8,1,1,0,1,0,0,1,2,0,1,4,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,6,1,1,2,2,0,1,0,1,0,2,0,0,0,0,0,1,3,1,0,2,0,0,1,1,1
hsa_piR_007608,piRNA,chr2,37330930,37330957,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
